text_length,text_quality,metadata_score,structure_score,field_score,suspicious_keywords,repeated_lines,abnormal_symbols,missing_fields,metadata_anomaly,tampering_indicators,risk_score,label
2818,99,92,88,87,0,1,1,0,0,1,11.08,Genuine
3120,79,63,57,77,3,2,2,3,3,2,35.63,Suspicious
1727,47,62,46,60,2,3,3,2,2,2,43.79,Suspicious
2425,34,36,24,41,6,2,4,4,4,3,70.88,Fake
3650,26,48,41,38,3,6,5,5,2,7,77.66,Fake
3946,86,92,87,85,1,1,1,1,1,0,12.08,Genuine
4153,47,57,62,67,3,1,1,2,2,1,41.47,Suspicious
3703,28,22,28,22,9,5,3,7,3,9,94.58,Fake
3772,55,76,55,47,1,3,3,4,2,2,45.25,Suspicious
1830,40,15,30,35,5,4,5,6,6,4,73.95,Fake
4777,48,62,55,53,4,1,3,4,1,3,54.76,Suspicious
4729,54,39,52,44,8,3,4,3,7,7,83.24,Fake
1052,81,84,98,100,0,0,0,1,1,1,8.44,Genuine
3084,58,15,19,41,9,2,7,6,5,3,80.71,Fake
857,88,80,98,100,0,1,1,1,0,0,10.78,Genuine
3506,59,59,32,35,7,7,5,3,7,7,78.64,Fake
1463,67,46,70,76,4,3,0,2,1,1,39.12,Suspicious
2322,48,70,62,60,4,3,0,3,2,1,35.96,Suspicious
2222,47,16,22,26,7,2,5,5,3,6,81.78,Fake
455,74,43,59,67,1,2,1,4,2,2,40.41,Suspicious
2813,98,91,80,92,1,0,0,0,0,0,14.96,Genuine
165,89,96,100,96,1,1,0,1,1,1,14.69,Genuine
3924,77,69,56,59,2,2,3,2,3,2,46.08,Suspicious
1247,13,28,46,14,6,7,3,6,7,4,82.95,Fake
4276,31,55,32,53,5,2,4,5,5,3,65.76,Fake
191,56,74,77,80,1,2,3,1,2,2,33.2,Suspicious
2895,10,35,60,52,3,2,3,6,2,9,77.95,Fake
4045,74,80,45,49,4,3,2,4,1,1,43.31,Suspicious
2964,74,79,51,76,4,2,1,4,3,1,34.0,Suspicious
2336,11,22,20,21,3,7,6,3,5,9,79.99,Fake
4512,73,63,56,73,2,3,0,3,3,2,35.37,Suspicious
1160,57,23,26,18,9,7,4,6,5,3,83.52,Fake
3277,89,81,80,89,0,1,1,0,0,1,18.87,Genuine
2165,85,98,95,96,0,0,0,0,1,1,10.1,Genuine
4002,75,77,51,52,2,0,0,3,1,3,29.21,Suspicious
755,89,81,82,100,1,1,1,1,1,1,14.59,Genuine
4537,84,83,84,92,1,0,1,0,0,0,17.54,Genuine
264,90,80,84,99,0,0,1,0,1,1,8.19,Genuine
1332,52,59,14,22,3,5,2,3,4,3,59.44,Fake
4710,25,30,18,21,7,2,7,5,3,8,90.25,Fake
1772,66,60,78,69,4,2,2,2,2,1,34.74,Suspicious
1111,84,86,95,99,0,0,1,1,1,0,10.75,Genuine
1057,47,49,24,27,6,6,7,6,6,3,76.38,Fake
4395,66,75,63,58,2,1,0,1,2,2,30.54,Suspicious
4015,55,49,66,75,1,2,1,3,2,1,26.73,Suspicious
4573,85,93,83,100,1,0,0,0,0,0,8.02,Genuine
1695,49,57,42,33,4,7,7,3,4,8,74.17,Fake
3422,91,93,81,85,1,1,0,0,1,0,11.35,Genuine
3329,46,77,57,76,2,0,0,2,2,3,34.75,Suspicious
3041,80,92,85,89,1,1,1,1,0,0,13.57,Genuine
1794,86,99,87,87,1,0,1,0,1,1,15.01,Genuine
4606,98,94,88,92,1,1,1,0,1,1,17.65,Genuine
2940,74,80,74,80,4,0,1,4,2,2,26.34,Suspicious
1866,57,55,59,48,9,3,4,5,5,7,77.88,Fake
2210,45,49,54,13,8,2,6,6,5,7,89.85,Fake
4118,20,22,26,46,6,5,2,4,3,7,79.28,Fake
1872,96,90,92,96,0,0,1,0,0,0,8.13,Genuine
2215,54,52,50,51,4,2,1,1,3,2,43.25,Suspicious
1395,89,90,95,98,1,1,0,0,1,1,12.52,Genuine
648,43,27,15,60,4,6,6,4,7,4,71.86,Fake
4790,48,44,54,71,4,1,0,4,1,1,37.93,Suspicious
1257,91,95,87,98,1,0,1,0,0,0,10.96,Genuine
3902,52,79,66,66,4,2,3,4,1,2,43.06,Suspicious
378,100,84,85,91,1,1,1,1,0,0,11.54,Genuine
3897,46,45,68,62,3,0,3,4,2,1,39.47,Suspicious
1893,48,27,16,41,7,5,6,4,3,5,80.08,Fake
1818,84,83,81,96,0,1,1,1,1,0,17.93,Genuine
2167,83,81,95,87,0,1,1,1,0,0,12.69,Genuine
3324,52,21,19,16,5,3,2,7,7,8,86.38,Fake
1651,88,94,87,98,1,0,1,0,1,1,8.84,Genuine
517,17,24,59,54,3,6,5,4,6,8,71.63,Fake
630,20,18,51,32,6,7,5,3,7,3,79.59,Fake
3843,92,83,82,90,0,1,1,0,0,1,16.95,Genuine
4376,18,29,11,28,3,4,4,7,5,8,81.02,Fake
1722,48,47,62,52,3,2,3,4,1,3,45.64,Suspicious
4707,33,22,20,24,4,3,2,3,2,5,69.41,Fake
3085,64,59,63,65,4,0,0,4,3,3,45.46,Suspicious
2379,85,81,89,99,0,1,1,1,0,0,15.5,Genuine
2733,67,48,73,71,2,0,2,2,2,1,35.2,Suspicious
3461,80,57,50,46,3,1,3,3,3,2,41.82,Suspicious
540,31,60,57,30,5,7,5,4,7,3,67.64,Fake
3471,74,79,49,65,2,1,3,4,2,3,45.9,Suspicious
2031,87,80,83,89,1,0,0,0,0,0,6.21,Genuine
4208,81,81,97,98,1,1,1,0,0,1,14.54,Genuine
445,63,74,72,45,2,1,3,4,1,3,42.71,Suspicious
2553,17,17,28,41,9,6,2,5,6,7,96.62,Fake
672,46,43,32,25,8,4,3,7,6,3,71.93,Fake
3806,94,80,100,93,0,0,0,0,1,1,6.79,Genuine
4205,93,81,90,85,0,0,1,0,1,0,6.64,Genuine
1343,49,69,75,53,1,2,2,1,3,1,35.66,Suspicious
893,48,64,50,62,1,2,2,3,2,3,40.89,Suspicious
2105,47,48,58,15,6,6,7,6,3,8,80.45,Fake
3695,56,66,45,54,1,3,2,4,2,2,45.12,Suspicious
4507,55,25,23,21,5,5,3,4,7,5,72.89,Fake
4657,64,54,62,46,1,0,3,2,1,2,38.78,Suspicious
3832,71,76,74,71,3,2,2,2,1,1,30.32,Suspicious
4610,84,99,88,100,0,0,1,1,0,1,11.39,Genuine
3488,92,96,80,98,1,0,0,0,0,0,8.14,Genuine
2580,26,30,55,12,3,3,3,6,4,6,70.53,Fake
4734,97,98,83,94,0,0,1,1,0,1,11.04,Genuine
4939,72,74,76,72,1,3,2,4,1,1,31.87,Suspicious
3967,50,10,34,29,4,4,6,7,3,9,81.81,Fake
822,81,100,86,89,0,1,1,1,0,0,13.42,Genuine
1178,28,56,55,35,3,4,3,3,7,3,52.94,Fake
1325,69,75,70,45,4,2,3,4,3,1,40.7,Suspicious
3493,27,60,53,53,4,3,5,4,5,8,73.15,Fake
4572,22,28,18,12,7,3,7,7,2,5,83.55,Fake
2981,76,45,75,53,3,0,3,4,1,1,35.53,Suspicious
4525,78,42,49,67,2,0,2,4,1,2,36.32,Suspicious
3738,69,60,50,64,1,3,1,2,1,3,44.0,Suspicious
1315,88,97,95,91,1,1,1,1,1,1,19.98,Genuine
1317,74,42,72,77,2,2,0,1,3,2,30.77,Suspicious
2372,94,92,97,95,0,0,1,0,1,0,1.17,Genuine
1450,27,33,31,46,9,5,2,4,7,8,88.91,Fake
2499,87,87,87,97,0,1,1,1,1,1,16.63,Genuine
4470,68,68,49,79,3,2,0,1,2,2,34.94,Suspicious
3916,60,68,62,71,3,3,2,2,2,1,38.44,Suspicious
1759,60,79,73,59,4,2,3,2,2,3,49.99,Suspicious
2109,51,43,68,78,1,2,1,2,1,3,39.64,Suspicious
4072,96,88,98,99,1,1,1,1,1,0,11.17,Genuine
4733,77,62,59,77,1,0,0,3,3,2,26.27,Suspicious
256,98,100,97,89,1,1,1,1,0,0,10.81,Genuine
3510,93,96,93,88,0,0,1,0,0,0,5.56,Genuine
4146,29,29,55,36,6,4,7,4,7,4,69.25,Fake
770,67,75,47,59,2,2,2,1,2,3,42.86,Suspicious
4520,97,82,91,91,1,1,0,0,0,1,14.12,Genuine
4629,22,29,50,51,8,7,2,3,2,8,79.36,Fake
4614,58,74,73,56,4,1,3,2,2,3,44.45,Suspicious
271,45,55,73,67,1,0,3,4,2,3,38.25,Suspicious
3295,50,44,58,48,4,3,2,1,2,1,50.07,Suspicious
3554,94,96,97,87,1,1,0,1,0,0,11.02,Genuine
1314,46,38,53,38,7,4,3,6,3,9,79.33,Fake
4592,47,33,17,43,5,2,3,6,5,6,71.57,Fake
1842,89,86,93,97,0,0,0,1,1,1,5.04,Genuine
1609,32,43,50,50,7,4,4,6,4,8,76.45,Fake
2738,71,41,75,58,2,0,2,4,1,1,34.58,Suspicious
1707,66,67,50,74,2,1,3,3,2,2,30.88,Suspicious
636,48,62,57,61,3,3,0,2,1,3,44.3,Suspicious
3978,50,48,60,48,4,3,0,3,1,1,42.28,Suspicious
3823,52,15,59,29,9,7,2,5,3,9,85.62,Fake
554,61,52,68,75,2,2,1,1,3,3,37.58,Suspicious
3857,51,34,30,25,9,7,5,6,4,9,89.51,Fake
2025,81,80,95,90,0,0,1,1,0,0,14.08,Genuine
3182,27,45,11,23,7,6,5,4,6,8,83.7,Fake
501,75,80,80,69,1,1,3,2,2,2,28.0,Suspicious
3075,63,40,45,70,2,1,3,4,2,3,44.9,Suspicious
3933,29,44,54,30,3,6,2,5,7,9,68.48,Fake
695,92,85,89,97,0,0,0,1,0,1,10.8,Genuine
1736,68,50,74,79,4,3,0,1,1,1,34.45,Suspicious
3511,31,36,50,50,3,4,2,3,7,9,71.86,Fake
1101,85,96,93,98,1,0,0,1,0,0,7.99,Genuine
1974,90,94,81,95,0,1,1,1,1,1,16.65,Genuine
2474,40,31,11,36,9,5,2,4,4,3,77.16,Fake
3956,73,50,77,73,4,2,2,4,3,3,45.81,Suspicious
1427,30,39,20,31,9,6,2,3,4,8,87.07,Fake
1494,62,41,58,64,2,2,3,2,2,1,34.27,Suspicious
1775,67,46,47,56,3,0,1,1,1,3,46.53,Suspicious
2920,26,43,55,12,7,7,4,4,6,7,87.72,Fake
657,54,78,49,61,3,2,2,4,3,1,41.88,Suspicious
1522,51,46,47,47,2,0,0,1,3,1,39.41,Suspicious
689,65,63,64,71,4,2,2,4,1,1,41.8,Suspicious
